,Question,A,B,C,D,Answer,Subject
204,"How many cylindrical holes are present in the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(223,161);Line:(205,161);Line:(205,190);Line:(223,190);Line:(223,223);Line:(128,223);Line:(128,190);Line:(146,190);Line:(146,161);Line:(128,161);Line:(128,128);SOL;Circle:(176,176,11);Ext:(128,128,128,68,160,128,64,144,128,Newbody,One-sided);SOL;Line:(223,128);Line:(223,176);Line:(128,176);Line:(128,128);SOL;Circle:(176,152,12);Ext:(128,128,128,68,128,128,64,144,128,Join,One-sided);SOL;Line:(188,128);Line:(188,223);Line:(128,223);Line:(128,128);Ext:(128,128,128,68,183,128,19,160,128,Join,One-sided);SOL;Line:(188,128);Line:(188,223);Line:(128,223);Line:(128,128);Ext:(128,128,128,120,183,128,19,160,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",One,Two,Three,Four,B,QA
205,"What type of feature is present at the top of the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Circle:(176,128,48);SOL;Circle:(176,128,34);Ext:(128,128,128,63,128,128,129,224,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",surface,tip,hole,pattern,C,QA
206,"What is the primary shape of the CAD object in the image? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(223,135);Line:(128,135);Line:(128,128);Ext:(192,64,192,32,128,99,179,132,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Cylinder,Sphere,prism,Cone,C,QA
207,"What type of angle is formed between the vertical and horizontal surfaces of the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(223,220);Line:(128,220);Line:(128,128);Ext:(128,128,128,51,32,128,138,130,128,Newbody,One-sided);SOL;Line:(135,128);Line:(135,223);Line:(128,223);Line:(128,128);Ext:(128,128,128,51,32,130,134,161,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Acute,Right,Obtuse,Straight,B,QA
208,"How many vertical columns does the CAD object have? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(223,152);Line:(128,152);Line:(128,128);Ext:(128,128,128,51,109,128,154,140,128,Newbody,One-sided);SOL;Arc:(223,128,128,1);Line:(128,128);SOL;Circle:(176,104,10);Ext:(128,128,128,51,109,128,154,140,128,Join,One-sided);SOL;Line:(223,128);Line:(223,182);Line:(128,182);Line:(128,128);Ext:(128,128,128,51,132,140,27,189,128,Join,One-sided);SOL;Line:(223,128);Line:(223,182);Line:(128,182);Line:(128,128);Ext:(128,128,128,178,132,140,27,189,128,Join,One-sided);SOL;Line:(223,128);Line:(223,143);Line:(128,143);Line:(128,128);Ext:(128,128,128,78,132,140,100,151,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",One,Two,Three,Four,B,QA
209,"What type of geometric feature is the central hole in the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(203,148);Line:(168,148);Arc:(136,148,128,1);Line:(128,148);Line:(128,128);SOL;Circle:(152,148,8);Ext:(192,64,192,128,128,128,96,136,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Square,Triangle,Circle,Hexagon,C,QA
210,"What shape is the base of the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Line:(133,125);Line:(181,92);Line:(186,89);Line:(189,94);Line:(223,145);Arc:(145,150,16,1);Line:(132,133);Line:(128,128);Ext:(192,64,192,108,128,213,45,129,128,Newbody,One-sided);SOL;Line:(131,124);Line:(223,186);Line:(220,190);Line:(128,128);Ext:(192,192,192,135,128,196,26,201,128,Join,One-sided);SOL;Line:(168,68);Line:(223,105);Line:(183,165);Line:(128,128);Ext:(192,192,192,136,128,195,2,201,128,Join,One-sided);SOL;Line:(192,33);Line:(196,36);Line:(133,129);Arc:(128,128,1,1);Ext:(192,192,192,153,128,221,25,201,128,Join,One-sided);SOL;Line:(169,74);Line:(223,110);Line:(182,165);Line:(128,128);Ext:(192,192,192,110,128,213,2,201,128,Join,One-sided);SOL;Line:(199,33);Line:(210,40);Line:(139,136);Line:(128,128);Ext:(192,192,192,117,128,222,10,201,128,Join,One-sided);SOL;Line:(168,75);Line:(223,117);Arc:(128,128,1,1);Ext:(192,192,192,117,128,223,2,201,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Circle,Triangle,Rectangle,Hexagon,C,QA
211,"What type of geometric shape primarily makes up the CAD object in the image? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(223,152);Line:(204,171);Line:(176,171);Line:(176,152);Line:(156,152);Line:(156,171);Line:(138,171);Line:(128,161);Line:(128,128);Ext:(192,64,192,128,128,128,96,138,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Cylinder,Sphere,Prism,Cone,C,QA
212,"What feature is present at the center of the circular part of the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Line:(195,128);Line:(195,223);Arc:(128,128,19,0);Ext:(128,128,128,122,128,128,9,139,128,Newbody,One-sided);SOL;Line:(150,128);Arc:(187,155,147,0);Line:(187,223);Line:(128,223);Line:(128,128);Ext:(128,128,128,68,128,128,96,139,128,Join,One-sided);SOL;Line:(200,128);Arc:(214,149,19,1);Line:(214,189);Arc:(128,128,147,1);SOL;Circle:(164,169,20);Ext:(128,128,128,90,128,128,42,139,128,Join,One-sided);SOL;Arc:(223,128,59,1);Line:(128,128);Ext:(128,128,128,90,128,128,32,139,128,Join,One-sided);SOL;Arc:(128,223,31,1);Line:(128,128);Ext:(128,128,128,128,137,128,18,139,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",pyramid,cube,hole,sphere,C,QA
213,"How many faces does the CAD object in the image have? The corresponding CAD code to generate the object is as follow: SOL;Line:(149,88);Line:(223,88);Line:(202,128);Line:(128,128);Ext:(128,128,128,128,128,128,21,224,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",4,5,6,8,C,QA
214,"How many cylindrical shapes are visible in the CAD object? The corresponding CAD code to generate the object is as follow: SOL;Circle:(176,128,48);Ext:(192,64,192,106,128,202,43,184,128,Newbody,One-sided);SOL;Circle:(176,128,48);Ext:(192,64,192,94,128,67,69,184,128,Join,One-sided);SOL;Arc:(177,128,120,0);Line:(168,223);Arc:(137,223,131,0);Line:(128,128);Ext:(192,64,192,94,128,70,133,184,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",One,Two,Three,Four,B,QA
215,"What is the primary shape of the CAD object in the image? The corresponding CAD code to generate the object is as follow: SOL;Circle:(176,128,48);SOL;Circle:(176,128,36);Ext:(128,128,128,32,128,128,192,140,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Cube,Sphere,Torus,Cylinder,C,QA
216,"How many faces does the CAD object in the image have? The corresponding CAD code to generate the object is as follow: SOL;Line:(223,128);Line:(223,155);Line:(128,155);Line:(128,128);Ext:(192,128,192,128,61,128,67,140,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",4,6,8,12,B,QA
217,"What type of 3D object is shown in the image? The corresponding CAD code to generate the object is as follow: SOL;Circle:(176,128,48);Ext:(128,128,128,120,128,128,15,224,128,Newbody,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",Cube,Cylinder,Cone,Sphere,B,QA
218,"How many cylindrical objects are displayed in the image? The corresponding CAD code to generate the object is as follow: SOL;Circle:(176,128,48);Ext:(128,128,128,108,128,128,41,176,128,Newbody,One-sided);SOL;Circle:(176,128,48);Ext:(128,128,128,111,207,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,55,184,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,32,128,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,55,72,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,48);Ext:(128,128,128,111,49,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,167,72,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,190,128,128,34,176,128,Join,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,167,184,128,34,176,128,Join,One-sided);EOS
Hint: the CAD code has the following syntax:
The provided code is a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.
",8,9,10,11,B,QA
