,Question,A,B,C,D,Answer,Subject
147,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,47);SOL;Circle:(176,128,35);Ext:(192,64,192,121,128,128,13,224,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What type of surface does the CAD object primarily exhibit?",Flat,Curved,Textured,Transparent,B,QA
148,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,47);Ext:(192,64,192,108,128,143,4,32,128,Newbody,One-sided);SOL;Circle:(176,128,47);Ext:(192,64,192,127,128,145,6,94,128,Newbody,One-sided);SOL;Circle:(176,128,47);Ext:(192,64,192,141,128,133,3,92,128,Newbody,One-sided);SOL;Circle:(176,128,48);Ext:(192,64,192,112,128,129,6,94,128,Newbody,One-sided);SOL;Circle:(176,128,47);Ext:(192,64,192,132,128,126,2,122,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: How many cylindrical objects are visible in the image?",Two,Three,Four,Five,D,QA
149,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Arc:(223,131,3,1);Line:(128,128);Ext:(192,64,192,128,128,121,1,130,128,Newbody,One-sided);SOL;Circle:(176,128,47);SOL;Circle:(176,128,16);Ext:(192,64,192,121,128,217,15,130,128,Join,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,19);Ext:(192,64,192,156,128,128,12,130,128,Join,One-sided);SOL;Arc:(188,128,118,0);Line:(176,221);Arc:(140,223,133,0);Line:(128,128);SOL;Circle:(152,194,6);Ext:(192,64,192,116,128,179,39,130,128,Join,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,10);Ext:(192,64,192,116,128,177,25,130,128,Join,One-sided);SOL;Line:(136,46);Arc:(150,33,189,0);Line:(209,35);Arc:(209,56,131,0);Line:(174,57);Arc:(164,69,67,0);Line:(170,127);Arc:(128,128,119,0);Ext:(192,64,192,116,128,176,55,130,128,Join,One-sided);SOL;Line:(131,128);Arc:(128,128,253,1);SOL;Circle:(128,176,16);Ext:(192,64,192,128,128,121,15,130,128,Join,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: How many holes are present in the CAD object?",Two,Three,Four,Five,D,QA
150,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,48);Ext:(128,128,128,51,128,128,154,224,128,Newbody,One-sided);SOL;Line:(223,128);Line:(176,210);Line:(128,128);Ext:(192,64,192,26,128,123,51,8,128,Cut,Symmetric);SOL;Line:(223,128);Line:(176,210);Line:(128,128);Ext:(192,64,192,77,128,123,51,8,128,Cut,Symmetric);SOL;Line:(223,128);Line:(175,210);Line:(128,128);Ext:(192,64,192,128,128,123,51,8,128,Cut,Symmetric);SOL;Line:(223,128);Line:(176,210);Line:(128,128);Ext:(192,64,192,179,128,123,51,8,128,Cut,Symmetric);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: How many protruding tabs does the CAD object have?",Two,Three,Four,Five,B,QA
151,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,48);Ext:(128,128,128,50,182,128,41,122,128,Newbody,One-sided);SOL;Circle:(176,128,47);Ext:(128,128,128,66,183,128,8,92,128,Cut,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,11);Ext:(128,128,128,32,150,128,32,134,128,Newbody,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,21);Ext:(128,128,128,68,107,128,17,133,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What shape are the visible faces of the largest objects in the image?",Square,Triangle,Rectangle,Circle,D,QA
152,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,48);SOL;Circle:(176,128,46);Ext:(128,128,128,114,128,128,27,224,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What type of surfaces primarily make up the exterior of the CAD object?",Flat,Curved,Textured,Angular,B,QA
153,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Line:(223,128);Line:(223,142);Line:(142,142);Line:(142,180);Line:(128,180);Line:(128,128);Ext:(192,64,192,62,128,128,66,224,128,Newbody,One-sided);SOL;Line:(223,128);Line:(223,142);Line:(128,142);Line:(128,128);Ext:(128,128,128,78,47,138,41,80,128,Cut,One-sided);SOL;Line:(223,128);Line:(223,142);Line:(128,142);Line:(128,128);Ext:(128,128,128,78,107,138,41,80,128,Cut,One-sided);SOL;Circle:(176,128,48);Ext:(192,128,192,72,52,156,9,80,128,Cut,One-sided);SOL;Circle:(176,128,48);Ext:(192,128,192,72,100,156,9,80,128,Cut,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: How many circular holes are visible on the CAD object?",One,Two,Three,Four,B,QA
154,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Arc:(143,128,128,1);Line:(143,216);Arc:(128,216,128,1);Line:(128,210);Arc:(129,208,64,1);Line:(137,208);Arc:(138,207,64,0);Line:(138,197);Arc:(137,196,64,0);Line:(129,196);Arc:(128,195,64,1);Line:(128,128);Ext:(128,128,128,114,46,128,178,140,128,Newbody,Symmetric);SOL;Arc:(143,130,138,1);Line:(143,216);Arc:(135,223,63,1);Arc:(128,216,63,1);Line:(128,128);Ext:(128,128,128,119,46,140,120,124,128,Cut,Symmetric);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What is the shape of the cross-section of the main body of the CAD object?",Circular,Triangular,Rectangular,Hexagonal,C,QA
155,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,48);SOL;Circle:(176,128,37);Ext:(128,128,128,32,128,128,192,136,128,Newbody,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,5);Ext:(128,128,128,53,128,128,151,136,128,Join,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,5);Ext:(128,128,128,53,128,128,151,144,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: How many concentric circles are visible on the top surface of the CAD object in the image?",One,Two,Three,Four,B,QA
156,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Line:(223,128);Line:(223,134);Line:(134,134);Line:(134,223);Line:(128,223);Line:(128,128);Ext:(128,128,128,127,124,128,5,224,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What is the primary shape of the CAD object in the image?",Cylinder,Sphere,Rectangle,Cone,C,QA
157,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Line:(223,128);Line:(223,193);Line:(128,193);Line:(128,128);Ext:(128,128,128,104,96,128,47,188,128,Newbody,One-sided);SOL;Line:(223,128);Line:(223,178);Line:(128,178);Line:(128,128);Ext:(128,128,128,104,103,188,47,164,128,Join,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: How many cubes are visible in the CAD object?",One,Two,Three,Four,B,QA
158,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Line:(223,128);Line:(223,223);Line:(128,223);Line:(128,128);Ext:(192,64,192,32,128,32,192,160,128,Newbody,Symmetric);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What is the primary shape of the CAD object in the image?",Sphere,Cylinder,Cube,Pyramid,C,QA
159,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Line:(203,128);Line:(203,223);Line:(128,223);Line:(128,128);Ext:(128,128,128,52,32,128,192,134,128,Newbody,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What is the primary shape of the CAD object in the image?",Circle,Triangle,Rectangle,Sphere,C,QA
160,"Examine the following CAD code carefully to understand the 3D object it generates and answer the question based on your interpretation of the rendered image of that object.

SOL;Circle:(176,128,48);SOL;Circle:(176,128,24);Ext:(192,128,192,128,32,128,192,200,128,Newbody,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,28);Ext:(192,128,192,200,37,128,181,110,128,Cut,One-sided);SOL;Circle:(176,128,48);SOL;Circle:(176,128,28);Ext:(192,128,192,128,37,128,181,110,128,Cut,One-sided);EOS

Hint: the CAD code has the following syntax:

CAD code consists of a sequence of CAD commands that describe a 3D object.
The commands fall into two categories: sketch and extrusion. 
Sketch commands are used to specify closed curves on a 2D plane in 3D space. Each closed curve is referred as a loop, and one or more loops form a closed region called a profile. A loop always starts with an indicator command <SOL> followed by a series of curve command. All the curves on the loop are in counterclockwise order, beginning with the curve whose starting point is at the most bottom-left.
In total, there are three possible curve commands: Line, Arc, and Circle.
Line(x, y): a line, with x, y as line end-point.
Arc(x, y, u, f): an arc, with x,y as arc end-point, u as sweep angle and f as whether it is counter-clockwise, f=0 means it is counter-clockwise, f=1 mean it is not counter-clockwise.
Circle(x, y, r): a circle, with x,y as center point and r as radius.
The extrusion command has two purposes: 1) It extrudes a sketch profile from a 2D plane into a 3D body, and the extrusion type can be either one-sided, symmetric, or two-sided with respect to the profile’s sketch plane. 2) The command also specifies (through the parameter b in Table 1) how to merge the newly extruded 3D body with the previously created shape by one of the boolean operations: either creating a new body, or joining, cutting or intersecting with the existing body.
Ext(x, y, z, o, p, q, s, e, f, b, u): extrude operation, with x, y, z as the sketch plane orientation, o, p, q as the sketch plane origin, s as the scale of associated sketch profile, e, f as the extrude distances towards both sides, b as a boolean type (could be New-body operation, joint operation, cut operation and intersect operation) and u as the extrude type (could be one-sided, symmetric or two-sided).
<EOS> means the end of the code.

Question: What shape is the central hole of the CAD object?",Square,Hexagonal,Circular,Triangular,C,QA
